"ID_TRABALHA" "FILHOS_5" "FILHOS_6_18" "IDADE" "ID_ENSINO_SUPERIOR" "RENDA_FAMILIA"
0 0 3 39 0 28.363000869751
0 0 0 60 0 24.9839992523193
0 0 0 43 0 9.95199966430664
0 2 3 31 0 10
0 0 2 40 1 28.2000007629395
0 0 2 36 0 5.32999992370605
0 1 2 32 0 6.80000019073486
0 2 6 39 0 7.84000015258789
0 0 3 42 0 26
0 0 1 53 0 23.4260005950928
0 0 1 48 0 21.6200008392334
0 0 1 44 0 40.5
0 1 1 31 0 4
0 0 0 48 0 31.1060009002686
0 1 2 31 1 45.25
0 0 0 43 0 11.8950004577637
0 0 0 51 0 8.11699962615967
0 1 1 31 0 14
0 0 2 43 1 28.0690002441406
0 0 0 31 0 18
0 0 1 53 0 17.5049991607666
0 2 0 30 0 12.1000003814697
0 0 1 41 0 63.5
0 1 1 30 1 26.0400009155273
0 0 2 45 0 88
0 0 3 41 0 77
0 0 0 58 1 22.2000007629395
0 0 0 59 0 22.4220008850098
0 0 2 49 0 6.5310001373291
0 0 2 41 0 12.3999996185303
0 0 1 48 1 28.8999996185303
0 1 3 32 0 47.5
0 0 3 38 0 21.943000793457
0 0 7 34 0 7.23199987411499
0 0 0 48 0 14.3999996185303
0 0 3 40 0 19
0 0 3 47 1 19
0 0 0 47 0 12.6459999084473
0 3 0 31 1 51.2000007629395
0 0 1 54 0 16.1499996185303
0 0 3 47 0 28.2000007629395
0 0 0 51 0 7.60799980163574
0 1 1 30 0 24.3500003814697
0 1 3 35 0 6
0 0 2 32 0 22.9950008392334
0 0 1 42 1 24.1060009002686
0 0 0 56 0 10.5500001907349
0 1 1 31 0 7.71999979019165
0 1 1 34 0 30.2999992370605
0 0 0 53 0 9.5600004196167
0 1 1 43 1 27.8500003814697
0 0 1 51 0 10.8760004043579
0 0 1 51 0 21.0139999389648
0 0 0 54 0 35
0 1 3 47 1 19.7299995422363
0 0 2 43 0 14.5500001907349
0 0 1 48 1 22.2999992370605
0 1 3 33 0 15
0 0 2 43 0 29.7999992370605
0 0 1 32 1 22
0 0 0 42 0 10
0 0 0 55 1 13
0 1 2 41 0 16.5100002288818
0 0 2 42 0 15.8249998092651
0 1 1 48 0 14.0600004196167
0 0 0 49 0 15
0 0 0 54 1 20
0 1 2 36 0 17.6399993896484
0 0 0 51 0 21.8999996185303
0 0 2 31 0 12.9160003662109
0 0 2 41 1 51
0 1 3 37 0 17.4099998474121
0 0 4 42 0 7.5
0 0 0 50 1 63.2000007629395
0 0 1 37 0 34
0 0 5 38 1 28.2000007629395
0 0 0 58 0 37.7000007629395
0 0 0 50 0 11.2250003814697
0 1 2 41 1 27
0 1 0 48 0 20.9680004119873
0 0 2 43 0 27.0919990539551
0 0 1 48 1 31.5
0 0 3 30 0 12
0 0 2 50 0 30.2999992370605
0 0 1 37 0 27
0 0 1 47 0 18.2000007629395
0 0 0 47 0 7.04400014877319
0 0 0 55 0 13.0719995498657
0 0 2 36 0 37.7519989013672
0 1 2 32 0 7.28599977493286
0 0 0 55 0 29
0 1 1 30 1 25.7000007629395
0 0 0 60 1 55.5999984741211
0 1 2 45 0 10.0900001525879
0 0 0 47 0 13.3500003814697
0 0 1 51 0 10.6599998474121
0 1 3 41 1 30.7999992370605
0 0 0 58 0 15.5
0 1 3 35 0 24
0 0 4 36 0 24.3999996185303
0 0 2 47 0 24.4659996032715
0 1 1 30 0 22
0 0 0 51 0 14.7559995651245
0 0 0 60 0 14
0 0 0 49 0 15.5
0 0 0 49 0 18.1499996185303
0 1 2 34 1 96
0 0 0 44 0 1.5
0 1 1 37 0 37.5999984741211
0 0 0 54 1 35.0200004577637
0 0 0 59 0 32.242000579834
0 1 3 36 0 26.8999996185303
0 2 2 35 1 36
0 0 3 53 0 3.77699995040894
0 1 0 31 0 12.0920000076294
0 0 2 54 0 22.6100006103516
0 0 0 54 0 32
0 0 0 45 0 21.9500007629395
0 0 3 35 0 12.3669996261597
0 0 0 51 0 33.6710014343262
0 0 2 52 1 23.6749992370605
0 0 1 48 0 22
0 0 0 56 0 9.38000011444092
0 1 3 41 0 30.6229991912842
0 0 0 56 0 22.1499996185303
0 0 1 45 1 20.2199993133545
0 0 0 49 0 18.2900009155273
0 0 0 57 1 57
0 0 3 33 0 19.8759994506836
0 1 1 42 0 11.2030000686646
0 1 1 31 0 19.0219993591309
0 0 0 52 0 12.3999996185303
0 1 4 46 0 30.6499996185303
0 0 2 49 0 16.7360000610352
0 0 1 43 0 14
0 1 3 40 0 33.9199981689453
0 2 1 30 0 16.2000007629395
0 0 1 45 0 15.1499996185303
0 0 1 44 0 13.3900003433228
0 0 0 52 0 18.5
0 0 1 46 0 17.6350002288818
0 0 2 40 0 22.2250003814697
0 0 2 36 0 22.8460006713867
0 0 0 47 1 56.0999984741211
0 0 4 40 0 15
